#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:dna" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:dna" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter">0.5</parameter>
#            <parameter id="BDBirthRate.t:dna" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:dna" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.dna" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:dna" name="distribution" x="@BDBirthRate.t:dna">
#            <LogNormal id="LogNormal.4" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="0.0">1000.0</parameter>
#                <parameter id="RealParameter1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="0.0">3.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="DeathRatePrior.t:dna" name="distribution" x="@BDDeathRate.t:dna">
#            <Uniform id="Uniform.5" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="FastRatePriorDistrbution.c:dna" name="distribution">
#            <parameter dimension="18" id="fastRates.c:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.5</parameter>
#            <LogNormal id="LogNormalDistributionModel" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#                <parameter id="fastUcldStdev.c:dna" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="1.0">0.2</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="fastUcldStdevPrior.c:dna" name="distribution" x="@fastUcldStdev.c:dna">
#            <Gamma id="Gamma.10" name="distr">
#                <parameter estimate="false" id="RealParameter.47" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.48" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="FrequenciesPrior.s:dna" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:dna" name="distribution">
#            <parameter id="kappa.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@dna" id="treeLikelihood.dna" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:dna">
#            <siteModel id="SiteModel.s:dna" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:dna" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:dna" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:dna" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:dna" kappa="@kappa.s:dna" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:dna" id="estimatedFreqs.s:dna" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="FastRelaxedClock.c:dna" rates="@fastRates.c:dna" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:dna">
#                <LogNormal S="@fastUcldStdev.c:dna" id="FastLogNormalDistributionModel.c:dna" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter3" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </LogNormal>
#                <parameter id="fastUcldMean.c:dna" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	fastUcldMean	fastUcldStdev	BirthDeath	BDBirthRate	BDDeathRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ratesStat.mean	ratesStat.variance	ratesStat.coefficientOfVariation
0	-7408.002080572245	-7396.468480773877	-11.53359979836877	-7396.468480773877	3.508792405037777	2.0	1.0	0.2	-7.629407929986721	1.0	0.5	0.25	0.25	0.25	0.25	0.9989400908043553	0.0530188767822371	0.23552567829880275
2000	-5130.232324942582	-5110.566414410385	-19.665910532197056	-5110.566414410385	0.31801785099779056	2.140882818127349	1.0	0.5665584083077434	2.6844799913492015	1.33246227600205	0.8009414970467705	0.270999826469497	0.24359498741850866	0.21388418668565937	0.271520999426335	0.8787582272327177	1.3628163656145211	1.0276800485387538
4000	-5122.025498219271	-5104.524640831054	-17.500857388217014	-5104.524640831054	0.3682587335647199	2.15434036509901	1.0	0.7863528674876757	2.622158741472292	2.29003982412727	0.3471016504342778	0.2597392871673302	0.2657909036675238	0.20856544006650793	0.2659043690986381	0.8112558914725317	0.39327699191677623	0.683219982055159
6000	-5093.685908115685	-5083.640829544372	-10.045078571313665	-5083.640829544372	0.30389483803819484	2.3322469472567673	1.0	0.4924396250801643	3.374260631184584	1.961059316626964	0.30255172432322275	0.2633103446107563	0.2947973179105208	0.18424038976048962	0.25765194771823335	0.8911756799574005	0.148448826007813	0.4054136913335951
8000	-5085.926788009643	-5072.4222035006305	-13.504584509012814	-5072.4222035006305	0.3117516448455726	2.6944697602602323	1.0	0.6514673008783876	2.8846117217313614	1.521159694164012	0.5335690140340773	0.26479051669718473	0.314337552060612	0.1580277632612771	0.2628441679809263	0.867444608117317	0.2327239422337039	0.5280862422234404
10000	-5090.685263738066	-5077.246623526755	-13.438640211311201	-5077.246623526755	0.31198523896900676	2.6944697602602323	1.0	0.5514644005216949	3.8130028728474743	2.5928716012888997	0.46821931362107205	0.2906550873753633	0.3217384302691703	0.12589988854116052	0.26170659381430605	0.8758061035493813	0.40306979673341764	0.6115227983678324
12000	-5082.134887709288	-5067.684537491384	-14.450350217904347	-5067.684537491384	0.27449245631807545	2.6944697602602323	1.0	0.5653035653948968	3.783078276971288	2.4536035155381715	0.15984361315311782	0.2864168534995676	0.2862222746908832	0.13525860660130593	0.29210226520824345	0.9188262612498876	0.26631244295368867	0.4873511022770466
14000	-5046.897778705406	-5061.395173001368	14.497394295961605	-5061.395173001368	0.238459642629597	2.6944697602602323	1.0	0.11599067146490724	5.298432751703946	7.440287650819582	0.10156740690938615	0.28963533618233633	0.2780378909738658	0.1398062578251962	0.2925205150186018	0.9975950753305188	0.011931821282153357	0.10730006563040195
16000	-5045.4073925989405	-5055.708305193544	10.300912594603286	-5055.708305193544	0.2613936225154884	2.4709096575264162	1.0	0.14814933025718383	5.4771254556070925	4.880253047126719	0.18429851845760786	0.2893394866855938	0.2940608912814538	0.12843188654773438	0.2881677354852181	1.0181123094812712	0.019648057483986757	0.13522348353112673
18000	-5045.846636022682	-5061.757509238053	15.910873215370582	-5061.757509238053	0.25241492444764074	2.30088661912573	1.0	0.14422004212893444	5.925947056095055	4.49360221098385	0.07263174292736445	0.2995808908334231	0.2992014527726614	0.12854636929484686	0.2726712870990687	1.02246291216637	0.008636348220355241	0.09340568117390667
20000	-4956.734725764964	-5060.930143403464	104.19541763849952	-5060.930143403464	0.23991772717823384	2.572149217978655	1.0	0.0010188730856619875	5.757142873425954	3.9719622240127896	0.06478482990739871	0.28788904401206733	0.28684236913991884	0.13076887028087575	0.2944997165671382	1.000288475240211	8.141811246516998E-7	9.023178854381485E-4
22000	-5023.280280178983	-5059.627108383653	36.346828204669826	-5059.627108383653	0.25995924778355367	2.536440342920864	1.0	0.03791353144939145	5.293078077556636	6.655067563006573	0.0015483732958881486	0.31133823163610735	0.2864664124992276	0.12237108015443816	0.279824275710227	0.9953141119733226	0.0011133070849472342	0.03352509440094919
24000	-5036.51848979288	-5059.892891743809	23.374401950928505	-5059.892891743809	0.2666113485303261	2.354897729937227	1.0	0.05998616454527509	4.2083847023907905	2.2911185030571795	0.5666121427304766	0.2831937770077876	0.2846102002111032	0.1421006938144682	0.2900953289666412	0.9806768951855629	0.004601889358653761	0.0679301375036124
26000	-5030.987513807155	-5060.744267239201	29.75675343204582	-5060.744267239201	0.2575234577750651	2.673380311490197	1.0	0.04968955785969046	4.746564474601213	2.9652785570591558	0.4955340992028566	0.2661404662235028	0.3010768787041221	0.15093078936733292	0.28185186570504234	0.9947393217731392	0.002425165271802193	0.049083373123391866
28000	-5050.394461441036	-5064.402093554458	14.007632113421966	-5064.402093554458	0.242684965718218	2.354994852128846	1.0	0.1160643445643908	1.3230335709519503	5.661772230804657	0.717661386904674	0.26480484136213434	0.28800641782154157	0.15548951785471915	0.2916992229616051	0.9973462106387848	0.006909060970108357	0.0825895553022357
