#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="prior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="YuleModel.t:ratites" spec="beast.evolution.speciation.YuleModel">
#        <parameter id="BirthRate.t:ratites" name="birthDiffRate">1.0</parameter>
#        <tree id="Tree.t:ratites">
#            <taxonset id="TaxonSet.ratites" spec="beast.evolution.alignment.TaxonSet">
#            </taxonset>
#        </tree>
#    </distribution>
#    <prior id="BirthRatePrior.t:ratites" name="distribution" x="@BirthRate.t:ratites">
#        <LogNormal id="LogNormalDistribution1" meanInRealSpace="true" name="distr">
#            <parameter id="RealParameter" lower="0.0" name="M" upper="0.0">2.0</parameter>
#            <parameter id="RealParameter1" lower="0.0" name="S" upper="0.0">1.0</parameter>
#        </LogNormal>
#    </prior>
#    <prior id="FrequencyPrior.t:ratites" name="distribution">
#        <parameter dimension="4" id="freqParameter.t:ratites" name="x">0.25</parameter>
#        <Dirichlet id="Dirichlet1" name="distr">
#            <parameter dimension="4" id="RealParameter2" lower="0.0" name="alpha" upper="0.0">1.0 1.0 1.0 1.0</parameter>
#        </Dirichlet>
#    </prior>
#    <prior id="KappaPrior.t:ratites" name="distribution">
#        <parameter id="kappa.t:ratites" lower="0.0" name="x">2.0</parameter>
#        <LogNormal id="LogNormalDistribution0" meanInRealSpace="true" name="distr">
#            <parameter id="RealParameter3" lower="0.0" name="M" upper="0.0">1.0</parameter>
#            <parameter id="RealParameter4" lower="0.0" name="S" upper="0.0">1.25</parameter>
#        </LogNormal>
#    </prior>
#    <prior id="RatePrior.t:ratites" name="distribution">
#        <parameter dimension="12" id="rates.c:ratites" lower="0.0" name="x" upper="5.0">1.0</parameter>
#        <LogNormal id="LogNormalDistribution2" meanInRealSpace="true" name="distr">
#            <parameter id="RealParameter5" lower="0.0" name="M" upper="0.0">1.0</parameter>
#            <parameter id="ucldStdev.c:ratites" lower="0.0" name="S">0.2</parameter>
#        </LogNormal>
#    </prior>
#    <prior id="ucldStdevPrior.c:ratites" name="distribution" x="@ucldStdev.c:ratites">
#        <LogNormal id="LogNormalDistribution3" meanInRealSpace="true" name="distr">
#            <parameter id="RealParameter6" lower="0.0" name="M" upper="0.0">0.1</parameter>
#            <parameter id="RealParameter7" lower="0.0" name="S" upper="0.0">0.1</parameter>
#        </LogNormal>
#    </prior>
#</input>
#
Sample	BirthRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	Tree.height	Tree.treeLength	rates.1	rates.2	rates.3	rates.4	rates.5	rates.6	rates.7	rates.8	rates.9	rates.10	rates.11	rates.12
0	0.4692805056772383	0.6922253102771594	0.0	0.25	0.25	0.25	0.12163316945916222	1.02159238474635	3.358147133510237E-4	0.018228816742988006	5.237093045779913	15.396789171063713	1.0634805211085439	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1000	0.732353709578015	0.20315679438168255	0.0	0.25	0.25	0.25	0.10961427568698047	1.0039403526860693	9.364711470747255E-4	0.030333847371425318	2.962234231907619	9.039552206770628	1.1060078004907974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2000	4.051392169811766	0.533561564211707	0.0	0.25	0.25	0.25	0.12630853746592854	0.9963454946226603	4.4709539666775116E-4	0.021274488412916282	0.5812046843610709	1.9976838758688895	0.9267528515229909	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3000	0.30058435526063415	0.2517597611385354	0.0	0.25	0.25	0.25	0.09656422506396597	0.9998763006965383	3.731269293573908E-8	1.93175708975508E-4	2.0108312366519083	8.916219962322497	0.9993308570293062	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4000	2.328207697353797	0.7240957172643865	0.0	0.25	0.25	0.25	0.07826554841912331	0.9977545299502041	6.383913479987339E-4	0.02545204923982088	0.5269324179812035	2.5390299061426163	0.9124745969675957	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5000	6.98591974317018	0.06128310995931163	0.0	0.25	0.25	0.25	0.0916289148208845	1.0079204257479806	1.7794473775428006E-4	0.01328842169240903	0.18706291092235477	0.9715352531427005	1.0462097051824761	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6000	5.339964798609764	0.2790863661986532	0.0	0.25	0.25	0.25	0.11380965094968143	1.0044093298201957	3.0712052376222627E-4	0.017436642661696748	0.25098407249492577	0.8986599516883012	1.06070787663184	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
7000	1.3646970065397024	0.05894214603513524	0.0	0.25	0.25	0.25	0.09705520638767307	0.9999346579025385	1.3280930238983545E-6	0.001152812698916672	0.8867134311132627	3.247361976872832	0.9960078682027292	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
8000	0.5984866595081509	0.4573038276361456	0.0	0.25	0.25	0.25	0.10251359288037706	0.9985209298350946	3.541049269129775E-4	0.018920455523200666	3.0275991838568785	9.881762531443782	0.934813658463174	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9000	1.8165936542540708	0.744243127125131	0.0	0.25	0.25	0.25	0.11029976208727596	1.044457198056443	0.0029888052484962064	0.0538205777821843	0.34056985251664007	1.450786632525292	1.1893823196128785	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
